area (px),semiaxis minor (px),semiaxis major (px),eccentricity (px),blue channel,green channel,red channel,deviation blue channel,deviation green channel,deviation red channel,class
3.3215484793286753e-08,4.8512407441846444e-08,9.61245852711406e-08,0.8633049600874882,0.5176471,0.61538464,0.67431194,1.6393596310755,1.7633419974582356,1.5811388300841898,0
4.5671291590769285e-07,8.95975028429333e-08,1.4873250013314738e-07,0.7981890608770007,0.5352941,0.63076925,0.6880734,1.067940011315521,1.3047909176733932,0.7385489458759964,0
2.6572387834629403e-07,1.343718433652674e-07,1.6335588390495989e-07,0.5686621509590769,0.46470588,0.62051284,0.6834862,2.2400338120863132,1.3803352649943357,1.5461347109416754,0
4.982322718993013e-08,3.3904240391099054e-08,4.939664425284212e-08,0.7272550831698755,0.5235294,0.64615387,0.71100914,1.4142135623730951,1.4142135623730951,1.4142135623730951,0
1.0462877709885327e-06,1.8175420237922445e-07,2.91056127567642e-07,0.7810532378168855,0.5176471,0.61025643,0.6834862,2.2418835087191007,1.7716909687891083,1.411756195508118,0
1.494696815697904e-07,2.3713893323975142e-07,4.0644073407262947e-07,0.8121471399016291,0.5411765,0.61538464,0.6972477,2.497335858576604,2.205426336435608,2.646869312936193,0
8.303871198321688e-09,4.586213611897549e-08,4.809060373513199e-08,0.30088300589925643,0.5117647,0.6051282,0.6788991,1.0671873729054748,0.8975274678557508,1.3844373104863459,0
2.159006511563639e-07,7.402518644813372e-08,8.069000732520159e-08,0.39796141724570383,0.5294118,0.62051284,0.69266057,0.9035079029052513,0.0,0.0,0
4.151935599160844e-08,6.089125556365331e-08,1.2498091305485232e-07,0.8732879451478875,0.5294118,0.61025643,0.6834862,1.165922381636102,1.9364916731037085,0.9270248108869579,0
4.982322718993013e-08,3.107024191085576e-08,4.393995500413305e-08,0.7071067410772299,0.5058824,0.63076925,0.6972477,2.2110831935702664,2.054804667656325,2.0548046676563256,0
1.8268516636307714e-07,6.279262901021649e-08,1.3841634725067887e-07,0.8911797403263568,0.5,0.6051282,0.6788991,1.5923926292577109,0.7284313590846836,0.5890150893739515,0
5.397516278909098e-07,1.4419220752069835e-07,2.1719999995963217e-07,0.74784945148442,0.5058824,0.61025643,0.6834862,1.8571184369578826,1.1075498483890769,0.4422166387140533,0
1.9929290875972052e-07,6.8742897532319e-08,1.0726268658597473e-07,0.7676380668013035,0.5235294,0.61538464,0.6880734,0.7806247497997998,0.33071891388307384,0.33071891388307384,0
8.303871198321688e-09,7.752330590997629e-08,1.1316786720727879e-07,0.7285155079855953,0.23529412,0.36410257,0.4357798,5.146823867043378,5.166611805721464,5.205962045225314,0
9.134258318153857e-08,1.1280595236502176e-07,2.001127982030271e-07,0.8259715303004355,0.3882353,0.42051283,0.4678899,2.5,3.4815361193013636,3.136852522832401,0
2.2420452235468557e-07,4.130430646317557e-08,1.9705084389658572e-07,0.9777845512575426,0.5,0.6512821,0.73394495,5.281098370604358,4.031128874149275,4.386342439892261,0
1.6607742396643377e-07,3.903692395380336e-08,1.4281921026262622e-07,0.9619200278437283,0.5235294,0.61538464,0.6880734,1.049781318335648,1.124858267715973,0.5345224838248488,0
3.1554710553622413e-07,7.333925008149455e-08,1.3385422935420407e-07,0.8365413025405327,0.5235294,0.61538464,0.6880734,1.2892719737209146,0.6182412330330469,0.618241233033047,0
4.234974311144061e-07,1.0080365374616843e-07,1.2855760670686303e-07,0.6206184444755853,0.34117648,0.46153846,0.5321101,3.7416573867739413,3.5901098714230026,3.7416573867739413,0
4.982322718993013e-08,4.377688703025205e-08,9.420197256051463e-08,0.8854613322122521,0.5411765,0.6051282,0.6834862,1.4907119849998598,1.8257418583505538,0.6666666666666666,0
7.47348407848952e-08,3.4575581692985156e-08,1.366924982569477e-07,0.967480855366617,0.46470588,0.61538464,0.6880734,1.632993161855452,0.4714045207910317,0.9428090415820634,0
2.1756142539602824e-06,2.524177090674312e-07,3.8080961467017433e-07,0.7487567329349264,0.49411765,0.6051282,0.6651376,4.560156174680833,4.342178710574915,4.406102263363735,0
